Hidden_Nodes,Accuracy,Train_Time_Epochs,Test_Time_s,Test_Loss
10,0.9897,57,1.47,0.0184
20,0.9903,85,1.58,0.0187
30,0.9897,76,1.79,0.0185
40,0.99,62,1.43,0.0184
50,0.9894,49,2.63,0.0184
60,0.9891,47,2.14,0.0194
70,0.9889,43,1.79,0.0188
80,0.99,54,1.84,0.0186
