Environment,Hidden_Nodes,Accuracy,Train_Time,Test_Time,Test_Loss
GPU,10,0.9909,101.23,1.55,0.0177
GPU,20,0.9906,102.0,1.71,0.0187
GPU,30,0.992,104.61,1.85,0.0193
GPU,40,0.9914,108.44,2.91,0.02
GPU,50,0.9914,106.38,2.45,0.0233
GPU,60,0.9914,107.72,1.95,0.0235
GPU,70,0.9911,106.38,2.01,0.026
GPU,80,0.9911,103.72,2.98,0.0273
