Environment,Hidden_Nodes,Accuracy,Train_Time,Test_Time,Test_Loss
CPU,10,0.9906,445.66,3.18,0.0206
CPU,20,0.9894,854.7,1.56,0.028
CPU,30,0.9886,557.3,1.79,0.037
CPU,40,0.9891,775.23,1.98,0.0361
CPU,50,0.9894,715.84,1.56,0.0415
CPU,60,0.988,619.38,1.66,0.0521
CPU,70,0.9897,578.97,1.47,0.0459
CPU,80,0.9883,557.7,1.41,0.0589
